Terms,Definition 1,Citation 1,Definition 2,Citation 2,Definition 3,Citation 3,Definition 4,Citation 4,Definition 5,Citation 5,Related terms and synonyms,Legal definition applicable
in-processing algorithm,A bias mitigation algorithm that is applied to a model during its training.,AI_Fairness_360,,,,,,,,,,
incident,"a situation in which AI systems caused, or nearly caused, real-world harm.",AI_Incident_Database,the occurrence of a technical event that affects the integrity of a Product and/or Model.,FBPML_Wiki,"an alleged harm or near harm event to people, property, or the environment where an AI system is implicated.",AI_Incident_Editors,"Adverse event(s) in a computer system or networks caused by a failure of a security mechanism, or an attempted or threatened breach of these mechanisms.","Hasan,_Raza",,,,
incident response,"a public official response to an incident ... from an entity (i.e. company, organization, individual) allegedly responsible for developing or deploying the AI or AI system involved in said incident.",AIID_incident_response,,,,,,,,,,
independence,"Of software quality assurance (SQA), situation in which SQA is free from technical, managerial, and financial influences, intentional or unintentional",IEEE_Soft_Vocab,"Two events are independent if the occurrence of one event does not affect
the chances of the occurrence of the other event. The mathematical
formulation of the independence of events A and B is the probability of the
occurrence of both A and B being equal to the product of the probabilities
of A and B (i.e., P(A and B) = P(A)P(B))",nist_800_2010,"In simple terms, inclusion is getting the mix to work together.",,,,,,,
individual fairness,The goal of similar individuals receiving similar treatments or outcomes.,AI_Fairness_360,Give similar predictions to similar individuals,"Mehrabi,_Ninareh","A fairness metricthat checks whether similar individuals are classified similarly",aime_measurement_2022 citing Machine Learning Glossary by Google,,,,,,
inference,"The stage of ML in which a model is applied to a task. For example, a classifier model produces the classification of a test sample.",NISTIR_8269_Draft,,,,,,,,,,
information input component,One of the three components of a model. This component delivers assumptions and data to the model.,Comptroller_Office,,,,,,,,,,
information security,"preservation of confidentiality, integrity and availability of information; in addition, other properties, such as authenticity, accountability, non-repudiation, and reliability can also be involved.",ISO/IEC_TS_5723:2022(en),,,,,,,,,,
input,Data received from an external source,IEEE_Soft_Vocab,,,,,,,,,,
insider attack,"Those who are within [an] organisation may have authorised access to vast amounts of sensitive company records that are essential for maintaining competitiveness and market position, and knowledge of information services and procedures that are crucial for daily operations. . . .[and] should an individual choose to act against the organisation, then with their privileged access and their extensive knowledge, they are well positioned to cause serious damage.",IEEE_Caught_in_the_Act,,,,,,,,,,
in silico,carrying out some experiment by means of a computer simulation,World_Wide_Words_In_silico,,,,,,,,,computer simulation testing,
instance,"Discrete, bounded thing with an intrinsic, immutable, and unique identity. Individual occurrence of a type",IEEE_Soft_Vocab,"A single object of the world from which a model will be learned, or on which a model will be used (e.g., for prediction).","Kohavi,_Ron",,,,,,,,
instance weight  ,A numerical value that multiplies the contribution of a data point in a model.,AI_Fairness_360,,,,,,,,,,
integrity,"Degree to which a system, product, or component prevents unauthorized access to, or modification of, computer programs or data.",IEEE_Soft_Vocab,"Guarding against improper information modification or destruction, and includes ensuring information non-repudiation and authenticity.",CSRC,"The property whereby information, an information system, or a component of a system has not been modified or destroyed in an unauthorized manner.",CISA,"<data> property whereby data have not been altered in an unauthorized manner since they were created, transmitted, or stored; <systems> property of accuracy and completeness",ISO/IEC_TS_5723:2022(en),"the quality of moral consistency, honesty, and truthfulness with oneself and others.",APA_integrity,,
intelligent process automation,"A preconfigured software instance that combines business rules, experience- based context determination logic, and decision criteria to initiate and execute multiple interrelated human and automated processes in a dynamic context. The goal is to complete the execution of a combination of processes, activities, and tasks in one or more unrelated software systems that deliver a result or service with minimal or no human intervention. ",IEEE_Guide_IPA,,,,,,,,,,
interaction,Action that takes place with the participation of the environment of the object.,IEEE_Soft_Vocab,,,,,,,,,,
internal validity,"the degree to which a study or experiment is free from flaws in its internal structure and its results can therefore be taken to represent the true nature of the phenomenon. In other words, internal validity pertains to the soundness of results obtained within the controlled conditions of a particular study, specifically with respect to whether one can draw reasonable conclusions about cause-and-effect relationships among variables.",APA_internal_validity,,,,,,,,,,
interoperability,The ability of software or hardware systems or components to operate together successfully with minimal effort by end user,SP1011,"Degree to which two or more systems, products or components can exchange information and use the information that has been exchanged.",IEEE_Soft_Vocab,"The ability for tools to work together in execution, communication, and data exchange under specific conditions.",NIST_1500,,,,,,
interpretability,The ability to understand the value and accuracy of system output. Interpretability refers to the extent to which a cause and effect can be observed within a system or to which what is going to happen given a change in input or algorithmic parameters can be predicted. ,NSCAI,The ability to explain or to present an ML model’s reasoning in understandable terms to a human,"aime_measurement_2022, citing Machine Learning Glossary by Google",,,,,,,explainability,
interpretable model,"An interpretable machine learning model obeys a domain-specific set of constraints to allow it (or its predictions, or the data) to be more easily understood by humans. These constraints can differ dramatically depending on the domain.",rudin_interpretable_2022,,,,,,,,,,
intervenability,the property that intervention is possible concerning all ongoing or planned privacy relevant data processing[; ...] the data subjects themselves should be able to intervene with regards to the processing of their own data ... [to ensure] that data subjects have the ability to control how their data is processed and by whom.,Covert_et_al,,,,,,,,,,
knowledge,"The sum of all information derived from diagnostic, descriptive, predictive, and prescriptive analytics embedded in or available to or from a cognitive computing system.",IEEE_Guide_IPA,"<artificial intelligence> abstracted informationabout objects, events, concepts or rules, their relationships and properties, organizedfor goal-oriented systematic use","aime_measurement_2022, citinig ISO/IEC 22989",,,,,,,,
label,A value corresponding to an outcome.,AI_Fairness_360,target variable assigned to a sample,"aime_measurement_2022, citing ISO/IEC 22989",,,,,,,,
label shift,"Under label shift, the label distribution p(y) might change but the class-conditional
distributions p(x|y) do not. ... We work with the label shift assumption, i.e., ps(x|y) = pt(x|y)",saurabh_label_2020,,,,,,,,,,
large language model (LLM),"a class of language models that use deep-learning algorithms and are trained on extremely large textual datasets that can be multiple terabytes in size. LLMs can be classed into two types: generative or discriminatory. Generative LLMs are models that output text, such as the answer to a question or even writing an essay on a specific topic. They are typically unsupervised or semi-supervised learning models that predict what the response is for a given task. Discriminatory LLMs are supervised learning models that usually focus on classifying text, such as determining whether a text was made by a human or AI.",AI_Assurance_2022,,,,,,,,,language model,
language model,A language model is an approximative description that captures patterns and regularities present in natural language and is used for making assumptions on previously unseen language fragments.,"Gustavii,_Ebba ",,,,,,,,,large language model (LLM),
learning,A procedure in artificial intelligence by which an artificial intelligence program improves its performance by gaining knowledge.,Dennis_Mercadal,"the acquisition of novel information, behaviors, or abilities after practice, observation, or other experiences, as evidenced by change in behavior, knowledge, or brain function. Learning involves consciously or nonconsciously attending to relevant aspects of incoming information, mentally organizing the information into a coherent cognitive representation, and integrating it with relevant existing knowledge activated from long-term memory.",APA_learning,,,,,,,,
least privilege,The principle that a security architecture should be designed so that each entity is granted the minimum system resources and authorizations that the entity needs to perform its function.,CSRC,The security objective of granting users only those accesses they need to perform their official duties.,SP-800-12,,,,,,,,
lemmatization,the process of grouping together the different inflected forms of a word so they can be analyzed as a single item.,Artasanchez_Joshi_AI_with_Python,"in natural language processing[, ...] working with words according to their root lexical components",Techopedia_lemmatization,grouping together words with the same root or lemma but with different inflections or derivatives of meaning so they can be analyzed as one item.,Techslang_lemmatization,,,,,,
linear model,[a supervised learning algorithm that uses] a simple formula to find a best-fit line through a set of data points.,dataiku_ML_and_linear_models,"(linear) An operator L^~ is said to be linear if, for every pair of functions f and g and scalar t,

 L^~(f+g)=L^~f+L^~g 
and

 L^~(tf)=tL^~f. ",wolfram_mathworld_2022,,,,,,,,
local,A local explanation explains a subset of decisions or is a per-decision explanation.,NISTIR_8312_Full,,,,,,,,,,
localization,Creation of a national or specific regional version of a product.,IEEE_Soft_Vocab,,,,,,,,,,
logistic model,"(logistic equation) The continuous version of the logistic model is described by the differential equation
 (dN)/(dt)=(rN(K-N))/K, 	
(1)
where r is the Malthusian parameter (rate of maximum population growth) and K is the so-called carrying capacity (i.e., the maximum sustainable population). Dividing both sides by K and defining x=N/K then gives the differential equation
 (dx)/(dt)=rx(1-x), 	
(2)
which is known as the logistic equation and has solution
 x(t)=1/(1+(1/(x_0)-1)e^(-rt)). 	
(3)
The function x(t) is sometimes known as the sigmoid function.",wolfram_mathworld_2022,,,,,,,,,,
machine learning,A branch of Artificial Intelligence (AI) that focuses on the development of systems capable of learning from data to perform a task without being explicitly programmed to perform that task. Learning refers to the process of optimizing model parameters through computational techniques such that the model's behaviour is optimized for the training task.,TTC6_Taxonomy_Terminology,,,,,,,A subcategory of artificial intelligence; a method of designing a sequence of actions to solve a problem that optimizes automatically through experience and with limited or no human intervention.,Comptroller_Office,,
machine observation,Machine detection and interpretation of relevant and meaningful events and conditions that impact operation of the computer system itself or other dependent mechanisms or processes essential to the purpose of the system.,IEEE_Guide_IPA,,,,,,,,,,
malware,"Hardware, firmware, or software that is intentionally included or inserted in a system for a harmful purpose.","Reznik,_Leon",Software that compromises the operation of a system by performing an unauthorized function or process.,CISA,,,,,,,trojan horse,
materiality,"Refers to the significance of a matter in relation to a set of financial or performance information. If a matter is material to the set of information, then it is likely to be of significance to a user of that information",OECD,,,,,,,,,,
McNamara fallacy,presum[ing] that (A) quantitative models of reality are always more accurate than other models; (B) the quantitative measurements that can be made most easily must be the most relevant; and (C) factors other than those currently being used in quantitative metrics must either not exist or not have a significant influence on success. Also known as the quantitative fallacy.,McNamara_Fallacy,,,,,,,,,quantitative fallacy,
measurement,"(Quantitative) (1) act or process of assigning a number or category to an
entity to describe an attribute of that entity; (2) assignment of numbers to
objects in a systematic way to represent properties of the object; (3) use of
a metric to assign a value (e.g., a number or category) from a scale to an
attribute of an entity; (4) set of operations having the object of determining a
value of a measure; (5) assignment of values and labels to aspects of software
engineering work products, processes, and resources plus the models that are
derived from them, whether these models are developed using statistical or
other techniques; (6) figure, extent, or amount obtained by measuring","aime_measurement_2022, citing ISO/IEC 24765","(Qualitative) (1) a way of learning about social reality [...][that uses] approaches [...] to explore, describe, or explain social phenomen[a]; unpack the meaning people ascribe to activities, situations, events, or [artifacts]; build a depth of understanding about some aspect of social life; build ""thick descriptions"" (see Clifford Geertz, 1973) of people in naturalistic settings; explore new or underresearched areas; or make micro-macro links (illuminate connections between individuals-groups and institutional and/or cultural contexts). (2) [approaches that] can make visible and unpick the mechanisms which link particular variables, by looking at the explanations, or accounts, provided by those involved. ",Leavy_OHQR_Intro,"Qualitative measurement engages research methods and techniques to provide information about the nature of phenomenon. Qualitative methods are designed for systematic collection,  organization, description and interpretation of non-numeric (textual, verbal or visual) data (Hammarberg et. al, 2016). Qualitative measurement generally answers questions about why, for whom, when, and how something is (or is not) observed, whereas quantitative measurement answers questions about what is observed.  Elements assessed using qualitative measurement may include contextual norms or meaning, socio-cultural dynamics, individual or collective beliefs, and complex multi-component interactions or interventions (Busetto et. al, 2020).",Hammarberg_2016_Busetto_2020,"Documentation of assumptions and methods used is a foundational element of qualitative measurement, as the choice of single or combined methods is made based on the phenomenon and its context (Russell & Gregory, 2003).  When appropriately paired, qualitative and quantitative measurement can provide corroboration or elaboration, demonstrate use cases, and/or identify conditions for complementarity or contradiction (Brannen, 2005).",Russell_2003_Brannen_2005,,,,
measurement method,generic description of a logical organization of operations used in a measurement,"aime_measurement_2022, citing ISO/IEC Guide 99","logical sequence of operations, described generically, usedin quantifying an attribute with respect to a specified scale","aime_measurement_2022, citing ISO/IEC 24765",,,,,,,,
measurement model,The initial confirmatory factory analysis (CFA) model that underlies the structural model [that] tests the adequacy (as indexed by model fit) of the specified relations whereby indicators are linked to their underlying construct.,Little_2013,"A statistical model that links unobservable theoretical constructs, operationalized as latent variables, and observable properties—i.e., data about the world",jackman_oxford_2008,,,,,,,,
measurability,"ability to assess an attribute of an entity against a metric (note 1: ""measurable"" is the adjective form of ""measurability"")",ISO/IEC_TS_5723:2022(en),,,,,,,,,,
membership inference,"given a machine learning model and a record, determining whether the record was used as part of the model's training dataset or not.",,,,,,,,,,,
metadata,Metadata is data that defines and describes other data.,OECD,Data that describe other data.,IEEE_Soft_Vocab,"Data employed to annotate other data with descriptive information, possibly including their data descriptions, data about data ownership, access paths, access rights, and data volatility.",,,,,,,
metric,defined measurement method and measurement scale,ISO/IEC_TS_5723:2022(en),"(1) quantitative measure of the degree to which a system, component, or process possesses a given attribute; (2) defined measurement method and the measurement scale; c.f., measure in this section above","aime_measurement_2022, citing ISO/IEC 24765",,,,,,,,
minimization,"(Part of the ICO framework for auditing AI) AI systems generally require large amounts of data. However, organisations must comply with the minimisation principle under data protection law if using personal data. This means ensuring that any personal data is adequate, relevant and limited to what is necessary for the purposes for which it is processed. […] The default approach of data scientists in designing and building AI systems will not necessarily take into account any data minimisation constraints. Organisations must therefore have in place risk management practices to ensure that data minimisation requirements, and all relevant minimisation techniques, are fully considered from the design phase, or, if AI systems are bought or operated by third parties, as part of the procurement process due diligence",ICO_data_minimisation,"a data controller should limit the collection of personal information to what is directly relevant and necessary to accomplish a specified purpose. They should also retain the data only for as long as is necessary to fulfil that purpose. In other words, data controllers should collect only the personal data they really need, and should keep it only for as long as they need it. The data minimisation principle is expressed in Article 5(1)(c) of the GDPR and Article 4(1)(c) of Regulation (EU) 2018/1725, which provide that personal data must be ""adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed"".",EDPS_data_minimization,,,,,,,,
mixed methods,"In mixed methods, the researcher collects and analyzes both qualitative and quantitative data rigorously in response to research questions and hypotheses; integrates the two forms of data and their results; organizes these procedures into specific research designs that provide the logic and procedures for conducting the study; and frames these procedures within theory and philosophy.",Creswell_Clark_mixed_methods,"research in which the inquirer or investigator collects and analyzes data, integrates the findings, and draws inferences using both qualitative and quantitative approaches or methods in a single study or a program of study. ",Lisa_M._Given_SAGE,,,,,,,,
MLOPS,MLOps (machine learning operations) stands for the collection of techniques and tools for the deployment of ML models in production. ,symeonidis_MLOps_2022,,,,,,,,,,
model,A function that takes features as input and predicts labels as output.,AI_Fairness_360,"A model is a formalised expression of a theory or the causal situation which is regarded as having generated observed data. In statistical analysis the model is generally expressed in symbols, that is to say in a mathematical form, but diagrammatic models are also found. The word has recently become very popular and possibly somewhat over-worked.",OECD,"A core component of an AI system used to make inferences from inputs in order to produce outputs. A model characterizes an input-to-output transformation intended to perform a core computational task of the AI system (e.g., classifying an image, predicting the next word for a sequence, or selecting a robot's next action given its state and goals).",TTC6_Taxonomy_Terminology,,,"A quantitative method, system, or approach that applies statistical, economic, financial, or mathematical theories, techniques, and assumptions to process input data into quantitative estimates. A model consists of three components: an information input component, which delivers assumptions and data to the model; a processing component, which transforms inputs into estimates; and a reporting component, which translates the estimates into useful business information.",Comptroller_Office,,
model assertion,Model assertions are arbitrary functions over a model’s input and output that indicate when errors may be occurring,"Kang,_Daniel ",,,,,,,,,,
model card,"short documents accompanying trained machine learning models that provide benchmarked evaluation in a variety of conditions, such as across different cultural, demographic, or phenotypic groups (e.g., race, geographic location, sex, Fitzpatrick skin type) and intersectional groups (e.g., age and race, or sex and Fitzpatrick skin type) that are relevant to the intended application domains. [They] also disclose the context in which models are intended to be used, details of the performance evaluation procedures, and other relevant information.",Model_Cards_for_Model_Reporting,"A brief document that discloses information about an AI model, like explanations about intended use, performance metrics and benchmarked evaluation in various conditions, such as across different cultures, demographics or race. ",IAPP_Governance_Terms,,,,,,,,
model debugging,Model debugging aims to diagnose a model’s failures.,Jain_Saachi,,,,,,,,,,
model decay,Model decay depicts that the performance of the model is degrading over time,"Nayak,_Pragati",,,,,,,,,,
model editing,"An area of research that aims to enable fast, data-efficient updates to a pre-trained base model’s behavior for only a small region of the domain, without damaging model performance on other inputs of interest","Mitchell,_Eric",,,,,,,,,,
model extraction,"Adversaries maliciously exploiting the query interface to steal the model. More precisely, in a model extraction attack, a good approximation of a sensitive or proprietary model held by the server is extracted (i.e. learned) by a dishonest user who interacts with the server only via the query interface.","Chandrasekaran,_Varun ",,,,,,,,,model inversion; model stealing,
model governance,"Model Governance is the name for the overall internal framework of a firm or organization that controls the processes for Model Development, Model Validation and Model Usage, assign responsibilities and roles etc.",open_risk_2022,,,,,,,,,,
model inventory,"in the context of Risk Management, [...] a database/[management information system] developed for the purpose of aggregating quantitative model related information that is in use by a firm or organization.",ORM_model_inventory,,,,,,,,,,
model overlay,"Judgmental or qualitative adjustments to model inputs or outputs to compensate for model, data, or other known limitations. A model overlay is a type of override.",Comptroller_Office,,,,,,,,,,
model risk management,"model risk management encompasses governance and control mechanisms such as board and senior management oversight, policies and procedures, controls and compliance, and an appropriate incentive and organizational structure",Fed_Reserve,,,,,,,,,,
model suite,A group of models that work together.,Comptroller_Office,,,,,,,,,,
model training,the phase in the data science development lifecycle where practitioners try to fit the best combination of weights and bias to a machine learning algorithm to minimize a loss function over the prediction range,C3.ai_Model_Training,"process to determine or to improve the parameters of a machine learning model, based on a machine learning algorithm, by using training data","aime_measurement_2022, citing ISO/IEC 22989",,,,,,,,
model validation,the set of processes and activities intended to verify that models are performing as expected.,yields.io_model_validation,"the set of principles, practices and organizational arrangements supporting a rigorous (audited) model development and validation cycle.",Open_Risk_Manual_model_validation,,,,,,,,
monitoring,Examination of the status of the activities of a supplier and of their results by the acquirer or a third party.,IEEE_Soft_Vocab,"Continual checking, supervising, critically observing or determining the status in order to identify change from the performance level required or expected.",SP800-160,,,,,,,,
moral agency,"The capacity for moral action, reasoning, judgment, and decision making, as opposed to merely having moral consequences.",AI_Ethics_Mark_Coeckelbergh,,,,,,,,,,
moral patiency,The moral standing of an entity in the sense of how that entity should be treated.,AI_Ethics_Mark_Coeckelbergh,,,,,,,,,,
naive Bayes ,"The naive Bayes classifier is a Bayesian learning method that has been found to be useful in many practical applications. It is called ""naive"" because it incorporates the simplifying assumption that attribute values are conditionally independent, given the classification of the instance. The naive Bayes classifier applies to learning tasks where each instance x is described by a conjunction of attribute values and where the target function f(x) can take on any value from some finite set V.","Mitchell,_Tom",,,,,,,,,,
natural language processing,"The field concerned with machines capable of processing, analysing,
and generating human language, either spoken, written or signed.",TTC6_Taxonomy_Terminology,,,,,,,,,,
neural network,"A model that, taking inspiration from the brain, is composed of layers (at least one of which is hidden) consisting of simple connected units or neurons followed by nonlinearities","aime_measurement_2022, citing Machine Learnign Glossary by Google",,,,,,,,,,
nondiscrimination,"the practice of treating people, companies, countries, etc. in the same way as others in order to be fair:",Cambridge Dictionary,"In the context of machine learning non-discrimination can be defined as follows: (1) people that are similar in terms non-protected characteristics should receive similar predictions, and (2) differences in predictions across groups of people can only be as large as justified by non-protected characteristics.",Žliobaitė_Indrė,,,"the practice of treating people, companies, countries, etc. in the same way as others in order to be fair",Cambridge_Dictionary_non-discrimination,,,,
normal flow,"The intended flow of a process originating from a start event, continuing through all defined activities, and concluding successfully to its defined end event.",IEEE_Guide_IPA,,,,,,,,,,
normalization,Conceptual procedure in database design that removes redundancy in a complex database by establishing dependencies and relationships between database entities. Normalization reduces storage requirements and avoids database inconsistencies.,OECD,"The process of convertingan actual range of values into a standard range of values, typically −1to +1 or 0 to 1","aime_measurement_2022, citing Machine Learning Glossary by Google",,,,,,,,
objective evidence,"data supporting the existence or verity of something (note: can be obtained through observation, measurement, test, or other means).",ISO/IEC_TS_5723:2022(en),,,,,,,,,,
observation,"a piece of information received online from users, sensors, or other knowledge sources",poole_mackworth_observation,"the careful, close examination of an object, process, or other phenomenon for the purpose of collecting data about it or drawing conclusions.",APA_observation,,,,,,,,
offline learning,implies ... a static dataset that [one] know[s] from the start and the parameters of [one's] machine learning algorithm are adjusted to the whole dataset at once often loading the whole dataset into memory or in batches.,Ben_Auffarth_2021,,,,,,,,,,
online learning,fitting [one's] model incrementally as the data flows in (streaming data).,Ben_Auffarth_2021,,,,,,,,,,
ontology,"A set of concepts and categories in a subject area or knowledge domain that shows their properties and the relationships among them to enable interoperability among disparate elements and systems and specify interfaces to independent, knowledge-based services for the purpose of enabling certain kinds of automated reasoning. ",IEEE_Guide_IPA,,,,,,,,,,
opacity,"The nature of some AI techniques whereby the inferential operations are complex, hidden, or otherwise opaque to their developers and end users in terms of providing an understanding of how classifications, recommendations, or actions are generated and what overall performance will be.",NSCAI,"A description of some deep learning systems [that] take an input and provide an output, but the calculations that occur in between are not easy for humans to interpret.","Hutson,_Matthew","When one or more features of an AI system, such as processes, the provenance of datasets, functions, output or behaviour are unavailable or incomprehensible to all stakeholders – usually an antonym for transparency.",TTC6_Taxonomy_Terminology,,,,,black box; unexplainable,
operationalization,Putting AI systems or related concepts into use so they can be measured.,,,,,,,,,,,
operator ,"A role assumed by the person performing remote control or teleoperation, semi-autonomous operations, or other human-in-the-loop types of operations",SP1011,Individual or organization that performs the operations of a system.,IEEE_Soft_Vocab,Individual or organization that performs the operations of a system.,SP800-160,,,,,,
opt-in,an individual makes an active affirmative indication of choice via a user interface signaling a desire to share their information with third parties.,IAPP_Privacy_Glossary,,,,,,,,,privacy; consent; opt-out,
opt-out,an individual makes an active affirmative indication of choice via a user interface signaling a desire not to share their information with third parties.,IAPP_Privacy_Glossary,,,,,,,,,privacy; consent; opt-in,
outcome,something that follows as a result or consequence,merriam_webster_outcome,,,,,,,,,,
outlier,An outlier is a data point that is far from other points.,Russell_and_Norvig,An outlier is a data value that lies in the tail of the statistical distribution of a set of data values.,OECD,"Values distant from mostother values. In machine learning, any of the following are outliers:• Weights with high absolute values• Predicted values relatively far away from the actual values• Input data whose values are more than roughly 3 standard deviations fromthe meanOutliers often cause problems in model training. Clipping is one way of managingoutliers",aime_measurement_2022 citing Machine Learning Glossary by Google,,,,,,
output,Data transmitted to an external destination,IEEE_Soft_Vocab,"Process by which an information processing system, or any of its parts, transfers data outside of that system or part",IEEE_Soft_Vocab,,,,,,,,
overfitting,"Given a hypothesis space H, a hypothesis h element of H is said to overfit the training data if there exists some alternative hypothesis h' element of H, such that h has smaller error than h' over the training examples, but h' has a smaller error than h over the entire distribution of instance.","Mitchell,_Tom",,,,,,,,,,
package,a folder with all the code and metadata needed to train and serve a machine learning model.,about_ML_packages,,,,,,,,,,
parametric,"A learning model that summarizes data with a set of parameters of
fixed size (independent of the number of training examples)",Russell_and_Norvig,,,,,,,,,,
parent process,"A process that may contain one or more sub-processes, activities, and tasks.",IEEE_Guide_IPA,,,,,,,,,,
parity,Bit(s) used to determine whether a block of data has been altered. Rationale: Term has been replaced by the term “parity bit”.,NIST_CSRC_parity, the quality or state of being equal or equivalent,Merriam-Webster_parity,,,,,,,,
participation,engag[ing] multiple stakeholders in deliberative processes in order to achieve consensus.,Sloane_et_al_2020,,,,,,,,,,
participant,"A computer system, data, input, business rule, human intervention, and other contributor to the flow of a process.",IEEE_Guide_IPA,"a living individual about whom an investigator (whether professional or student) conducting research:
(i) Obtains information or biospecimens through intervention or interaction with the individual, and uses, studies, or analyzes the information or biospecimens; or
(ii) Obtains, uses, studies, analyzes, or generates identifiable private information or identifiable biospecimens.",45_CFR_46_2018_Requirements_(2018_Common_Rule),,,,,,,human subject,
passive learning agent,A passive learning agent has a fixed policy that determines its behavior. An active learning agent gets to decide what actions to take.,Russell_and_Norvig,,,,,,,,,active learning agent,
personal data,"‘Personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person.",GDPR,"(1) “Personal information” means information that identifies, relates to, describes, is reasonably capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer or household. Personal information includes, but is not limited to, the following if it identifies, relates to, describes, is reasonably capable of being associated with, or could be reasonably linked, directly or indirectly, with a particular consumer or household:
(A) Identifiers such as a real name, alias, postal address, unique personal identifier, online identifier, Internet Protocol address, email address, account name, social security number, driver’s license number, passport number, or other similar identifiers.
(B) Any personal information described in subdivision (e) of Section 1798.80.
(C) Characteristics of protected classifications under California or federal law.
(D) Commercial information, including records of personal property, products or services purchased, obtained, or considered, or other purchasing or consuming histories or tendencies.
(E) Biometric information.
(F) Internet or other electronic network activity information, including, but not limited to, browsing history, search history, and information regarding a consumer’s interaction with an internet website application, or advertisement.
(G) Geolocation data.
(H) Audio, electronic, visual, thermal, olfactory, or similar information.
(I) Professional or employment-related information.
(J) Education information, defined as information that is not publicly available personally identifiable information as defined in the Family Educational Rights and Privacy Act (20 U.S.C. Sec. 1232g; 34 C.F.R. Part 99).
(K) Inferences drawn from any of the information identified in this subdivision to create a profile about a consumer reflecting the consumer’s preferences, characteristics, psychological trends, predispositions, behavior, attitudes, intelligence, abilities, and aptitudes.
(L) Sensitive personal information.
(2) “Personal information” does not include publicly available information or lawfully obtained, truthful information that is a matter of public concern. For purposes of this paragraph, “publicly available” means: information that is lawfully made available from federal, state, or local government records, or information that a business has a reasonable basis to believe is lawfully made available to the general public by the consumer or from widely distributed media; or information made available by a person to whom the consumer has disclosed the information if the consumer has not restricted the information to a specific audience. “Publicly available” does not mean biometric information collected by a business about a consumer without the consumer’s knowledge.
(3) “Personal information” does not include consumer information that is deidentified or aggregate consumer information.",CCPA,,,,,,,,
policy,"The general principles by which a government is guided in its management of public affairs, or the legislature in its measures. This term, as applied to a law, ordinance, or rule of law, denotes its general purpose or tendency considered as directed to the POLICY",law_policy_2023,A policy defines the learning agent’s way of behaving at a given time,sutton_reinforcement_2018,,,,,,,,
positionality,"the researcher's starting points and standpoints before and during inquiry, as well as the conditions shaping the research situation, process, and product.",Charmaz_Henwood,,,,,,,,,reflexivity,
post-hoc explanation,"Post-hoc explainability targets models that are not readily interpretable by design by resorting to diverse means to enhance their interpretability, such as text explanations, visual explanations, local explanations, explanations by example, explanations by simplification and feature relevance explanations techniques. Each of these techniques covers one of the most common ways humans explain systems and processes by themselves.",NISTIR_8312_Full,"Post-hoc explainability targets models that are not readily inter- pretable by design by resorting to diverse means to enhance their in- terpretability, such as text explanations, visual explanations, local expla- nations, explanations by example, explanations by simplification and feature relevance explanations techniques. Each of these techniques covers one of the most common ways humans explain systems and processes by themselves.",barredo_explainable_2020,,,,,,,,
post-processing,"Typically performed with the help of a holdout dataset (data not used in the training of the model). Here, the learned model is treated as a black box and its predictions are altered by a function during the post-processing phase. The function is deduced from the performance of the black box model on the holdout dataset. ",SP1270,"Performed after training by accessing a holdout set that was not involved during the training of the model. If the algorithm can only treat the learned model as a black box without any ability to modify the training data or learning algorithm, then only post-processing can be used in which the labels assigned by the black-box model initially get reassigned based on a function during the post-processing phase.","Mehrabi,_Ninareh",Steps performed after a machine learning model has been run to adjust its output. This can include adjusting a model's outputs or using a holdout dataset — data not used in the training of the model — to create a function run on the model's predictions to improve fairness or meet business requirements.,IAPP_Governance_Terms,,,,,,
post-processing algorithm,A bias mitigation algorithm that is applied to predicted labels.,AI_Fairness_360,,,,,,,,,,
practical significance,a conceptual framework for evaluating discrimination cases developed primarily on statistical evidence that is the subject of increasing interest and discussion by some in the equal employment opportunity (EEO) field.,DOL_Practical_Significance,,,,,,,,,statistical significance (often paired in contrast to this); substantive significance (synonym),
pre-processing algorithm,A bias mitigation algorithm that is applied to training data.,AI_Fairness_360,,,,,,,,,,
precision,A metric for classification models. Precision identifies the frequency with which a model was correct when classifying the positive class.,NSCAI,"closeness of agreement between indications or measuredquantity values obtained by replicate measurements on the same or similarobjects under specified conditions","aime_measurement_2022, citing ISO/IEC Guide 99","A metric for classification models.Precision identifies the frequency with which a model was correct when predictingthe positive class. That is:Precision = True Positive/(True Positive + False Positive)","aime_measurement_2022, citing Machine Learning Glossary by Google","Closeness of agreement between independent test results obtained under prescribed conditions. It is generally dependent on analyte concentration, and this dependence should be determined and documented. The measure of precision is usually expressed in terms of imprecision and computed as a standard deviation of the test results. Higher imprecision is reflected by a larger standard deviation. Independent test results means results obtained in a manner not influenced by any previous results on the same or similar material. Precision covers repeatability and reproducibility [19]. Alternatively, precision is a measure for the reproducibility of measurements within a set, that is, of the scatter or dispersion of a set about its central value. Precision depends only on the distribution of random errors and does not relate to the true value or specified value. ",UNODC_Glossary_QA_GLP,,,,
